CONS,ACC,gen,col,row,rep,sep_21_Y,may_22_Y,jul_22_Y,aug_22_Y,sep_22_Y,total_22,jul_22_Chloro,sep_21_PH,apr_22_PH,aug_22_PH
112,Plot 109,109,4,13,1,0.7,1.41,0.97,1.14,1.03,4.55,70.25,35,35,43.18
113,Plot 110,110,4,14,1,0.73,1.7,2.54,1.94,1.36,7.54,67.6,31,35.5,50.8
114,Plot 111,111,4,15,1,0.75,2.21,1.32,1.21,1.04,5.78,58.95,48.5,38,45.72
115,Plot 112,112,4,16,1,0.85,1.85,2.2,1.16,0.88,6.09,60.85,34,36.5,35.56
116,Plot 113,113,4,17,1,0.75,2.41,2.04,1.52,1.54,7.51,70.1,41,36.5,50.8
117,Plot 114,114,4,18,1,0.73,1.41,1.94,1.63,1.25,6.23,63.75,50.5,35,38.1
118,Plot 115,115,4,19,1,0.6,1.43,1.22,0.83,0.8,4.28,64.8,27,34.5,40.64
119,Plot 116,116,4,20,1,0.8,1.15,0.48,0.61,0.77,3.01,72.95,33.5,21.5,33.02
120,Plot 117,117,4,21,1,1.03,2.1,0.21,0.35,0.31,2.97,68.55,30.5,28.5,30.48
121,Plot 118,118,4,22,1,0.53,0.27,0.66,0.72,0.56,2.21,66.95,12,11,35.56
122,Plot 119,119,4,23,1,0.65,2.96,2.49,1.73,1.46,8.64,66.7,37,30.5,38.1
123,Plot 120,120,4,24,1,0.8,1.23,1.68,1.45,1.13,5.49,67.45,31,28,43.18
124,Plot 121,121,4,25,1,0.85,2.68,1.62,1.42,1.36,7.08,67,40,47.5,48.26
125,Plot 122,122,4,26,1,0.78,2.41,1.72,0.85,0.85,5.83,66.55,43,43,45.72
126,Plot 123,123,4,27,1,0.6,0.7,1.76,1.5,1.13,5.09,65.15,33,22.5,48.26
127,Plot 124,124,4,28,1,0.9,1.04,0.94,0.5,0.13,2.61,65.75,11,12.5,25.4
128,Plot 125,125,4,29,1,0.73,2.65,2.77,2.09,1.59,9.1,63.65,40,32.5,55.88
129,Plot 126,126,4,30,1,0.68,1.8,1.73,0.8,0.41,4.74,65.65,26.5,30,27.94
130,Plot 127,127,4,31,1,1.3,NA,0.14,0.76,0.6,1.5,63.9,NA,41,33.02
131,Plot 128,128,4,32,1,0.98,3,2.98,2.21,1.56,9.75,61.15,44,NA,38.1
132,EXTRA,CK,4,33,1,NA,1.36,1.59,1.28,0.65,4.88,NA,NA,NA,NA
133,Plot 129,129,5,1,1,0.28,0.33,2.45,1.51,1.3,5.59,68,35,18.5,38.1
134,Plot 130,130,5,2,1,0.6,0.01,0.17,0.41,0.35,0.94,64.95,16.5,5,45.72
135,Plot 131,131,5,3,1,0.53,0.85,1.92,1.63,1.23,5.63,71.25,31.5,23,43.18
136,Plot 132,132,5,4,1,0.43,2.11,2.48,1.43,1.18,7.2,64.5,30,31,38.1
137,Plot 133,133,5,5,1,0.15,2.17,1.43,1.51,1.05,6.16,68.3,34.5,36,48.26
